,Name,City,State,Zip,Type Detailed*,Current Guaranteed Minimum,Average Daily Population,current_as_of
34,ALHAMBRA BHC HOSPITAL,ROSEMEAD,CA,91770,HOSPITAL,,0,2021-01-07
35,ALHAMBRA CITY JAIL,ALHAMBRA,CA,91801,USMS IGA,,0,2021-01-07
36,ALICE PETERSON RESIDENCE,MESA,AZ,85203,ORR,,0,2021-01-07
37,ALLEGANY COUNTY JAIL,BELMONT,NY,14813,USMS IGA,,6,2025-11-10
38,ALLEGHENY COUNTY JAIL,PITTSBURGH,PA,15219,USMS IGA,,0,2021-01-07
39,ALLEN COUNTY JAIL,FT. WAYNE,IN,46802,USMS IGA,,1,2022-05-31
40,ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,70655,IGSA,170,145,2025-11-10
41,ALLENWOOD (MEDICAL) FEDERAL CORRECTIONAL INSTITUTE,WHITE DEER,PA,17887,BOP,,0,2021-01-07
42,ALLENWOOD LOW SECURITY FEDERAL CORRECTIONAL INSTIT,WHITE DEER,PA,17887,BOP,,0,2021-01-07
43,ALLENWOOD US PENITENTIARY,WHITE DEER,PA,17887,BOP,,0,2021-01-07
44,ALVARADO PARKWAY INSTITUTE,LA MESA,CA,91942,HOSPITAL,,0,2021-01-07
45,AMARILLO HOLD ROOM,AMARILLO,TX,79801,HOLD,,0,2021-01-07
46,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,CA,92805,HOSPITAL,,0,2021-01-07
47,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,AK,99501,USMS IGA,,2,2025-11-10
48,ANCHORAGE SUB-OFFICE HOLD ROOM,ANCHORAGE,AK,99501,HOLD,,0,2021-01-07
49,ANDERSON COUNTY DET CENTER,ANDERSON,SC,29625,Other,,0,2021-01-07
50,ANDREWS SHERRIF'S OFFICE CO JAIL,ANDREWS,TX,79714,Other,,0,2021-01-07
51,ANDROSCOGGIN COUNTY JAIL,AUBURN,ME,4210,IGSA,,0,2021-01-07
52,ANGELINA COUNTY JAIL,LUFKIN,TX,75901,IGSA,,0,2021-01-07
53,ANGELS FLIGHT,LOS ANGELES,CA,90057,ORR,,0,2021-01-07
54,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,GLEN BURNIE,MD,21060,IGSA,,0,2021-01-07
55,ANNE KLEIN PSYCHIATRIC INSTITUTE,W. TRENTON,NJ,8628,HOSPITAL,,0,2021-01-07
56,ANNEX - FOLKSTON IPC,FOLKSTON,GA,31537,DIGSA,338,133,2023-09-18
57,ANOKA COUNTY JUVENILE,LINO LAKES,MN,55014,JUVENILE,,0,2021-01-07
58,APACHE COUNTY JAIL,ST JOHNS,AZ,85936,USMS IGA,,0,2021-01-07
59,ARAPAHOE COUNTY JAIL,LITTLETON,CO,80120,IGSA,,0,2021-01-07
60,ARCHDIOCESE PHL NE FAM SVC CTR TFC,PHILADELPHIA,PA,19136,ORR,,0,2021-01-07
61,ARCHULETA COUNTY JAIL,PAGOSA SPRINGS,CO,81147,IGSA,,0,2021-01-07
62,ARIZONA DEPARTMENT OF CORRECTIONS - TUSCON,TUCSON,AZ,85734,IGSA,,0,2021-01-07
63,ARIZONA STATE PRISON CAMP,FLORENCE,AZ,85132,Other,,0,2021-01-07
64,ARKANSAS DEPARTMENT OF CORRECTIONS (TEXARKANA),TEXARKANA,AR,75502,IGSA,,0,2021-01-07
65,ARLINGTON COUNTY JAIL,ARLINGTON,VA,22201,USMS IGA,,0,2021-01-07
66,AROOSTOOK COUNTY JAIL,HOULTON,ME,4730,USMS IGA,,0,2021-01-07
67,ARROWHEAD REGIONAL MED CENTER,COLTON,CA,92324,HOSPITAL,,0,2021-01-07
68,ARTESIA CITY JAIL,ARTESIA,NM,88210,Other,,0,2021-01-07
69,ARTESIA FAMILY RESIDENTIAL CENTER,ARTESIA,NM,88210,FAMILY,,0,2021-01-07
70,ARTHUR KILL CORRECTIONAL FACILITY,STATEN ISLAND,NY,10309,IGSA,,0,2021-01-07
71,ASHLAND FEDERAL CORRECTIONAL INSTITUTE,ASHLAND,KY,41105,BOP,,0,2021-01-07
72,ATASCOSA COUNTY JAIL,JOURDANTON,TX,78026,IGSA,,0,2021-01-07
73,ATCHINSON COUNTY JAIL,ATCHINSON,KS,66002,IGSA,,0,2021-01-07
74,"ATHENS, TX HOLD ROOM",ATHENS,TX,75751,HOLD,,0,2021-01-07
75,ATLANTA CITY DETENTION CENTER,ATLANTA,GA,30303,USMS IGA,,0,2021-01-07
76,ATLANTA DISTRICT HOLD ROOM,ATLANTA,GA,30303,HOLD,,0,2021-01-07
77,ATLANTA US PEN,ATLANTA,GA,30315,BOP,,86,2025-09-02
78,ATLANTIC SHORES HOSPITAL,FORT LAUDERDALE,FL,33308,HOSPITAL,,0,2021-01-07
79,ATWATER US PENITENTIARY,ATWATER,CA,95301,BOP,,0,2021-01-07
80,AUDRAIN COUNTY JAIL,MEXICO,MO,65265,IGSA,,0,2021-01-07
81,AURORA CITY JAIL,AURORA,CO,80017,IGSA,,0,2021-01-07
82,AUSTIN DRO HOLD ROOM,AUSTIN,TX,78701,HOLD,,0,2021-01-07
83,AVOYELLES PARISH PRISON,MARKSVILLE,LA,71351,IGSA,,0,2021-01-07
84,AVOYELLES WOMENS CORRECTIONAL CENTER,MARKSVILLE,LA,71351,IGSA,,0,2021-01-07
85,AZ REM OP COORD CENTER (AROCC),MESA,AZ,85004,HOLD,,6,2021-01-07
86,Adams County DET Center,Natchez,MS,39120,DIGSA,"1,100",1533,2024-02-20
87,Adams County Det Center,Natchez,MS,39120,DIGSA,"1,100",1447,2024-04-15
88,Adelanto ICE Processing Center,ADELANTO,CA,92301,CDF,"7.089,172",63,2022-03-07
89,Adelanto ICE Processing Center,Adelanto,CA,92301,CDF,640,6,2024-04-15
90,Adelanto Ice Processing Center,Adelanto,CA,92301,CDF,640,7,2024-02-05
91,Alamance County Detention Facility,Graham,NC,27253,IGSA,40,22,2024-04-15
92,Alexandria City Jail,Alexandria,VA,22314,USMS IGA,,0,2024-01-22
93,Alexandria Staging Facility,Alexandria,LA,71303,STAGING,,284,2024-04-15
94,Allen Parish Public Safety Complex,Oberlin,LA,70655,IGSA,170,126,2024-04-15
95,BAKER CALIFORNIA CORRECTIONAL FACILITY (CCF),BAKER,CA,92309,IGSA,,0,2021-01-07
96,BAKER COUNTY SHERIFF DEPT.,MACCLENNY,FL,32063,IGSA,250,288,2025-11-10
97,BAKER COUNTY SHERIFF'S OFFICE,MACCLENNY,FL,32063,IGSA,192,234,2024-05-13
98,BAKERFIELD HOLD,BAKERSFIELD,CA,93301,HOLD,,0,2021-01-07
99,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,AL,36507,USMS IGA,,12,2025-11-10
100,BALTIMORE DD&P,BALTIMORE,MD,21227,HOLD,,0,2021-01-07
101,BANNOCK COUNTY JAIL,POCATELLO,ID,83204,USMS IGA,,0,2021-01-07
102,BAPTIST CHILD & FAM SVC-DRISCOLL,ROBSTOWN,TX,78380,ORR,,73,2021-01-07
103,BAPTIST CHILD & FAM SVC-STAFF SEC,SAN ANTONIO,TX,78227,ORR,,5,2021-01-07
104,BAPTIST CHILD & FAMILY SERVICES,FAIRFIELD,CA,94533,ORR,,1,2021-01-07
105,BAPTIST CHILD & FAMILY SERVICES,SAN ANTONIO,TX,78227,ORR,,22,2021-01-07
106,BAPTIST CHILD & FAMILY SVCS,HARLINGEN,TX,78550,ORR,,121,2021-01-07
107,BAPTIST CHILD & FAMILY SVCS-RAY,RAYMONDVILLE,TX,78580,ORR,,11,2021-01-07
108,BAPTIST CHILD & FAMILY SVCS-SNA,SAN ANTONIO,TX,78232,ORR,,70,2021-01-07
109,BAPTIST CHILD AND FAMILY SERVICES (BCFS) - NATHROP,NATHROP,CO,81236,ORR,,0,2021-01-07
110,BAPTIST CHILD AND FAMILY SERVICES - TFC,SAN ANTONIO,TX,78228,ORR,,45,2021-01-07
111,BAPTIST CHILD AND FAMILY SERVICES(BCFS)-HARLINGEN,HARLINGEN,TX,78550,ORR,,0,2021-01-07
112,BAPTIST CHILD/FAMILY SVCS-BAYTOWN,BAYTOWN,TX,77520,ORR,,16,2021-01-07
113,BARNSTABLE COUNTY,BARNSTABLE,MA,2630,IGSA,,0,2021-01-07
114,BARRETT HONOR CAMP,ALPINE,CA,91901,JUVENILE,,0,2021-01-07
115,BARTOW COUNTY JAIL,CARTERSVILLE,GA,30121,USMS IGA,,0,2021-01-07
116,BASTROP COUNTY JAIL,BASTROP,TX,78602,IGSA,,0,2021-01-07
117,BASTROP FEDERAL CORRECTIONAL INSTITUTE,BASTROP,TX,78602,BOP,,0,2021-01-07
118,BAY COUNTY,PANAMA CITY,FL,32404,IGSA,,0,2021-01-07
119,BAY POINT SCHOOLS,CUTLER BAY,FL,33190,ORR,,0,2021-01-07
120,BAYAMON HOSPITAL,BAYAMON,PR,956,HOSPITAL,,0,2021-01-07
121,BCFS CAMP ALPHA,WAXAHACHIE,TX,75167,ORR,,0,2021-01-07
122,BCFS CAMP BRAVO,ROSYE CITY,TX,75189,ORR,,0,2021-01-07
123,BCFS HHS EL PASO,EL PASO,TX,79905,ORR,,33,2021-01-07
124,BCFS LTFC DALLAS,GRAND PRAIRIE,TX,75050,ORR,,7,2021-01-07
125,BEADLE COUNTY,HURON,SD,57350,IGSA,,0,2021-01-07
126,BEAUMONT FEDERAL,BEAUMONT,TX,77720,BOP,,0,2021-01-07
127,BEAUMONT FEDERAL CORRECTIONAL INSTITUTE,BEAUMONT,TX,77720,BOP,,0,2021-01-07
128,BEAUMONT LOW SECURITY FEDERAL CORRECTIONAL CENTER,BEAUMONT,TX,77720,BOP,,0,2021-01-07
129,BEAUMONT MEDIUM SECURITY FEDERAL CORRECTIONAL CENT,BEAUMONT,TX,77720,BOP,,0,2021-01-07
130,BEAUREGARD PARISH JAIL,DE RIDDER,LA,70634,IGSA,,0,2021-01-07
131,BEAVER COUNTY JAIL,ALIQUIPPA,PA,15001,USMS IGA,,1,2023-05-15
132,BEAVERHEAD COUNTY DETENTION CENTER,DILLON,MT,59725,IGSA,,0,2021-01-07
133,BECKLEY  FEDERAL CORRECTIONAL INSTITUTE,BEAVER,WV,25813,BOP,,0,2021-01-07
134,BEDFORD COUNTY JAIL,BEDFORD,PA,15522,IGSA,,0,2021-01-07
135,BEDFORD HEIGHTS CITY JAIL,BEDFORD HTS,OH,44146,IGSA,,0,2021-01-07
136,BEDFORD MUNICIPAL DETENTION CENTER,BEDFORD,TX,76021,IGSA,,4,2021-07-08
137,BELKNAP COUNTY JAIL,LACONIA,NH,3246,IGSA,,0,2021-01-07
138,BELL COUNTY JAIL,BELTON,TX,76513,USMS IGA,,0,2025-06-23
139,BELL COUNTY JUVENILE,KILLEEN,TX,76543,JUVENILE,,0,2021-01-07
140,BELLEVILLE POLICE DEPARTMENT (MICHIGAN),BELLEVILLE,MI,48111,IGSA,,0,2021-01-07
141,BELLEVUE HOSPITAL,NEW YORK,NY,10016,HOSPITAL,,0,2021-01-07
142,BELLINGHAM BPS ERO HOLDROOM,FERNDALE,WA,98248,HOLD,,0,2021-01-07
143,BELLMONT PINES HOSPITAL,YOUNGSTOWN,OH,44505,HOSPITAL,,0,2021-01-07
144,BELMONT COUNTY JAIL,ST CLAIRSVILLE,OH,43950,Other,,0,2021-01-07
145,BENT COUNTY JAIL,LAS ANIMAS,CO,81054,IGSA,,0,2021-01-07
146,BENTON COUNTY DETENTION CENTER,BENTONVILLE,AR,72712,USMS IGA,,0,2021-01-07
147,BENTON COUNTY JAIL,FOLEY,MN,56329,IGSA,,0,2021-01-07
148,BENTON COUNTY JAIL,KENNEWICK,WA,99336,IGSA,,0,2021-01-07
149,BENTON COUNTY JAIL,VINTON,IA,52349,IGSA,,0,2021-01-07
150,BERGEN COUNTY JAIL,HACKENSACK,NJ,7601,USMS IGA,,0,2023-11-13
151,BERKS COUNTY,LEESPORT,PA,19533,JUVENILE,,0,2021-01-07
152,BERKS COUNTY FAMILY SHELTER,LEESPORT,PA,19533,FAMILY,84,17,2021-05-28
153,BERKS COUNTY PRISON,LEESPORT,PA,19533,USMS IGA,,0,2021-01-07
154,BERKS COUNTY RESIDENTIAL CENTER,LEESPORT,PA,19533,DIGSA,78,41,2023-01-09
155,BERKS COUNTY SECURED JUVENILE,LEESPORT,PA,19533,JUVENILE,,0,2021-01-07
156,BERKS HOLD ROOM,LEESPORT,PA,19533,HOLD,,0,2021-01-07
157,BERLIN FED. CORR. INST.,BERLIN,NH,3570,BOP,,198,2025-11-10
158,BERNALILLO COUNTY DETENTION CENTER,ALBUQUERQUE,NM,87102,DIGSA,,0,2023-06-12
159,BEST WEST ROSE GRDN I&S,MCALLEN,TX,78503,Other,,0,2021-03-17
160,BEST WESTERN DRAGON GATE INN,LOS ANGELES,CA,90012,Other,,0,2021-01-07
161,BEST WESTERN MARINA,NATIONAL CITY,CA,91950,Other,,0,2021-01-07
162,BEST WESTERN PLUS EL PASO AIRPORT HOTEL & CONFEREN,EL PASO,TX,79925,Other,,5,2021-10-01
163,BEST WESTERN-CASA DE ESTRELLA,EL PASO,TX,79925,FAMILY STAGING,,28,2022-01-10
164,BETH ISRAEL HOSPITAL,NEW YORK,NY,10003,HOSPITAL,,0,2021-01-07
165,"BETHANY C.S.,GRAND RAPIDS",GRAND RAPIDS,MI,49501,ORR,,54,2021-01-07
166,BETHANY CHILDREN'S HOME,WOMELSDORF,PA,19567,ORR,,2,2021-01-07
167,BETHANY CHRIST SVC MDSTO,MODESTO,CA,95350,ORR,,0,2021-01-07
168,BETHANY CHRISTIAN SERVICES OF MD,CROFTON,MD,21114,ORR,,2,2021-01-07
169,BETHANY CHRISTIAN SVCS ORLANDO,ORLANDO,FL,32819,ORR,,3,2021-01-07
170,BETHANY CS HAVERTON,HAVERTOWN,PA,19083,ORR,,0,2021-01-07
171,BETHANY CS OF INDIANA TFC,INDIANAPOLIS,IN,46250,ORR,,1,2021-01-07
172,BETHANY CS OF MIDDLE TN TFC,NASHVILLE,TN,37206,ORR,,4,2021-01-07
173,BEXAR COUNTY JAIL,SAN ANTONIO,TX,78207,USMS IGA,,0,2021-01-07
174,BEXAR COUNTY JUVENILE,SAN ANTONIO,TX,77803,JUVENILE,,0,2021-01-07
175,BEXAR COUNTY WACKENHUT ANNUAL DETENTION,SAN ANTONIO,TX,78207,USMS IGA,,0,2021-01-07
176,BHC EAST LAKE (HOSP.),NEW ORLEANS,LA,70127,HOSPITAL,,0,2021-01-07
177,BIG HORN COUNTY JAIL (MONTANA),HARDIN,MT,59034,IGSA,,0,2021-01-07
178,BIG HORN COUNTY JAIL (WYOMING),BASIN,WY,82410,IGSA,,0,2021-01-07
179,BIG SPRING FEDERAL CORRECTIONAL INSTITUTE,BIG SPRING,TX,79720,BOP,,0,2021-01-07
180,BIG SPRING HOLD ROOM,BIG SPRING,TX,79720,HOLD,,0,2021-01-07
181,BILLINGS HOLD ROOM,BILLINGS,MT,59101,HOLD,,0,2021-01-07
182,BINGHAM COUNTY JAIL,BLACKFOOT,ID,83221,IGSA,,0,2021-01-07
183,BIRMINGHAM HOLD ROOM,HOMEWOOD,AL,35219,HOLD,,0,2021-01-07
184,BLACK HAWK COUNTY JAIL,WATERLOO,IA,59523,IGSA,,0,2021-01-07
185,BLAINE COUNTY JAIL,CHINOOK,MT,59523,IGSA,,0,2021-01-07
186,BLANCO COUNTY JAIL,JOHNSON CITY,TX,78636,IGSA,,0,2021-01-07
187,BLOUNT COUNTY JUSTICE CENTER,MARYVILLE,TN,37801,IGSA,,0,2021-01-07
188,BLOUNT COUNTY JUVENILE DETENTION CENTER,MARYVILLE,TN,37804,JUVENILE,,0,2021-01-07
189,BLUEBONNET DETENTION FACILITY,ANSON,TX,79501,DIGSA,750,1027,2025-11-10
190,BOARD CHILD CARE,BALTIMORE,MD,21244,ORR,,7,2021-01-07
191,BOISE HOLDROOM,BOISE,ID,83709,HOLD,,0,2021-01-07
192,BONNER COUNTY DETENTION CENTER,SANDPOINT,ID,83864,IGSA,,0,2021-01-07
193,BONNEVILLE COUNTY,IDAHO FALLS,ID,83402,IGSA,,0,2021-01-07
194,BOONE COUNTY JAIL,BURLINGTON,KY,41005,USMS IGA,,199,2025-11-10
195,BOSSIER PARISH COR. CENTER,PLAIN DEALING,LA,71064,USMS IGA,,0,2021-01-07
196,BOSTON HOLD ROOM,BURLINGTON,MA,1803,HOLD,,0,2021-01-07
197,BOSTON SPC,BOSTON,MA,2109,Other,,0,2021-01-07
198,BOTTINEAU COUNTY JAIL,BOTTINEAU,ND,58318,IGSA,,0,2021-01-07
199,BOULDER COUNTY JAIL,BOULDER,CO,80302,IGSA,,0,2021-01-07
200,BOUNDARY COUNTY,BONNERS FERRY,ID,83805,IGSA,,0,2021-01-07
201,BOURBON CO DET CENTER,PARIS,KY,40361,USMS IGA,,3,2025-11-10
202,BOWIE COUNTY JAIL,TEXARKANA,TX,77501,IGSA,,0,2021-01-07
203,BOX BUTTE COUNTY,ALLIANCE,NE,69301,IGSA,,0,2021-01-07
204,BOX ELDER COUNTY,BRIGHAM,UT,84302,IGSA,,0,2021-01-07
205,BOYSTOWN,MIAMI,FL,33157,ORR,,4,2021-01-07
206,BOYSTOWN - CUTLER BAY,CUTLER BAY,FL,33157,ORR,,12,2021-01-07
207,BRADENTON DETENTION CENTER,BRADENTON,FL,34205,IGSA,,0,2021-01-07
208,BRADFORD COUNTY JAIL,STARKE,FL,32091,IGSA,,0,2022-11-14
209,BRAZORIA COUNTY DETENTION,ANGELTON,TX,77515,IGSA,,0,2021-01-07
210,BRAZORIA COUNTY YOUTH HOMES,OYSTER CREEK,TX,77541,ORR,,0,2021-01-07
211,BRAZOS COUNTY JAIL,BRYAN,TX,77801,IGSA,,0,2021-01-07
212,BRD CHILD CARE CAMINOS W,MARTINSBURG,WV,25404,ORR,,0,2021-01-07
213,BRD CHILD CARE FALLING WATERS,MARTINSBURG,WV,25404,ORR,,1,2021-01-07
214,BREMER COUNTY JAIL,WAVERLY,IA,50677,USMS IGA,,1,2021-02-25
215,BREVARD CORRECTIONAL,COCOA,FL,32927,Other,,0,2021-01-22
216,BREVARD COUNTY JAIL COMPLEX,COCOA,FL,32927,IGSA,,0,2021-01-07
217,BREWSTER COUNTY JAIL,ALPINE,TX,79830,IGSA,,0,2021-01-07
218,BRIDGEPORT CORRECTIONAL CENTER,BRIDGEPORT,CT,6604,IGSA,,0,2021-01-07
219,BRIDGEWATER STATE HOSPITAL,BRIDGEWATER,MA,2324,HOSPITAL,,0,2021-01-07
220,BRISTOL COUNTY DETENTION CENTER,NORTH DARTMOUTH,MA,2747,IGSA,,18,2021-10-01
221,BRISTOL COUNTY JAIL (NEW BEDFORD),NEW BEDFORD,MA,2740,IGSA,,0,2021-01-07
222,BROADVIEW SERVICE STAGING,BROADVIEW,IL,60155,STAGING,,0,2022-12-13
223,BROADWATER COUNTY SHERIFF,TOWNSEND,MT,59644,IGSA,,0,2021-01-07
224,BRONSON HOSPITAL FIELDSTONE CENTER,BATTLE CREEK,MI,49017,HOSPITAL,,0,2021-01-07
225,BRONXCARE HEALTH SYSTEM,BRONX,NY,10457,HOSPITAL,,0,2021-01-07
226,BROOKFIELD POLICE DEPARTMENT,BROOKFIELD,IL,60513,IGSA,,0,2021-01-07
227,BROOKINGS COUNTY JAIL (SOUTH DAKOTA),BROOKINGS,SD,57006,IGSA,,0,2021-01-07
228,BROOKLYN MDC,BROOKLYN,NY,11232,BOP,,108,2025-11-10
229,BROOKS COUNTY DETENTION CENTER,FALFURRIAS,TX,78355,USMS IGA,,16,2025-11-10
230,BROOKS COUNTY JAIL (SHERIFF),FALFURRIAS,TX,78355,IGSA,,0,2021-01-07
231,BROOME COUNTY JAIL,BINGHAMPTON,NY,13905,USMS IGA,,44,2025-11-10
232,BROOME COUNTY JAIL,BINGHAMTON,NY,13905,IGSA,,7,2025-08-18
233,BROOMFIELD DETENTION CENTER,BROOMFIELD,CO,80021,IGSA,,0,2021-01-07
234,BROWARD CORRECTIONAL,PEMBROKE PINES,FL,33332,IGSA,,0,2021-01-07
235,BROWARD COUNTY JAIL,FT.LAUDERDALE,FL,33301,IGSA,,2,2025-11-10
236,BROWARD GENERAL MEDICAL CENTER,FT. LAUDERDALE,FL,33316,HOSPITAL,,0,2021-01-07
237,BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,33073,CDF,700,668,2025-11-10
238,BROWN COUNTY JAIL,ABERDEEN,SD,57401,IGSA,,0,2021-01-07
239,BROWN COUNTY JAIL,GREEN BAY,WI,54311,USMS IGA,,0,2025-06-23
240,BROWNSTOWN POLICE DEPARTMENT,BROWNSTOWN,MI,48183,IGSA,,0,2021-01-07
241,BROWNSVILLE POLICE DEPT,BROWNSVILLE,TX,78520,Other,,0,2021-01-07
242,BRULE COUNTY JAIL,CHAMBERLAIN,SD,57325,IGSA,,0,2021-01-07
243,BRUSH HOLDROOM,BRUSH,CO,80723,HOLD,,0,2021-01-07
244,BRYAN COUNTY JAIL,PEMBROKE,GA,31321,IGSA,,0,2021-01-07
245,BSCC AIRPARK UNIT,BIG SPRING,TX,79720,BOP,,0,2021-01-07
246,BSCC CEDAR HILL UNIT,BIG SPRING,TX,79720,BOP,,0,2021-01-07
247,BSCC FLIGHTLINE UNIT,BIG SPRING,TX,79720,BOP,,0,2021-01-07
248,BSCC GILES DARBY FACILITY,POST,TX,79356,BOP,,0,2021-01-07
249,BSCC INTERSTATE UNIT,BIG SPRING,TX,79720,BOP,,0,2021-01-07
250,BUCKS COUNTY JAIL (PENNSYLVANIA),DOYLESTOWN,PA,18901,IGSA,,0,2021-01-07
251,BUENA VISTA COUNTY JAIL,STORM LAKE,IA,50588,IGSA,,0,2021-01-07
252,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,14020,SPC,400,359,2023-09-30
253,BUFFALO CORRECTIONAL FACILITY,ALDEN,NY,14004,IGSA,,0,2021-01-07
254,BUFFALO HOLD ROOM,BUFFALO,NY,14202,HOLD,,0,2021-01-07
255,BUFFALO SERVICE PROCESSING CENTER,BATAVIA,NY,14020,SPC,400,687,2025-11-10
256,BUFFALO SPC,BATAVIA,NY,14020,SPC,400,545,2024-07-08
257,BULLOCK COUNTY JAIL,STATESBORO,GA,30458,IGSA,,0,2021-01-07
258,BURLEIGH COUNTY,BISMARCK,ND,58502,USMS IGA,,12,2025-11-10
259,BURNET COUNTY JAIL,BURNET,TX,78611,USMS IGA,,0,2025-06-23
260,BUTLER COUNTY JAIL,EL DORADO,KS,67042,USMS IGA,,0,2021-01-07
261,BUTLER COUNTY JAIL,HAMILTON,OH,45011,USMS IGA,,340,2025-11-10
262,BUTLER COUNTY JAIL (PENNSYLVANIA),BUTLER,PA,16001,IGSA,,0,2021-01-07
263,BUTNER FEDERAL CORRECTIONAL INSTITUTE,BUTNER,NC,27509,BOP,,0,2021-01-07
264,BUTTE-SILVER BOW COUNTY JAIL,BUTTE,MT,59701,IGSA,,0,2021-01-07
265,"BYRD'S FOSTER GROUP HOME, INC",HOUSTON,TX,77009,JUVENILE,,0,2021-11-30
266,Baker County Sheriff'S Office,Macclenny,FL,32063,IGSA,192,230,2024-01-22
267,Baker County Sheriff's Office,Macclenny,FL,32063,IGSA,192,234,2024-04-15
268,Baldwin County Correctional Center,Bay Minette,AL,36507,USMS IGA,,1,2024-04-01
269,Bergen County Jail,Hackensack,NJ,7601,USMS IGA,,0,2023-12-11
270,Bluebonnet Detention Facility,Anson,TX,79501,DIGSA,750,610,2024-04-15
271,Boone County Jail,Burlington,KY,41005,USMS IGA,,130,2024-04-15
272,Broward Transitional Center,Pompano Beach,FL,33073,CDF,700,591,2024-04-15
273,Buffalo SPC,Batavia,NY,14020,SPC,400,530,2024-04-15
274,Buffalo Spc,Batavia,NY,14020,SPC,400,512,2024-02-05
275,CABARRUS COUNTY JAIL,CONCORD,NC,28025,IGSA,,0,2022-12-13
276,CACHE COUNTY JAIL,LOGAN,UT,84321,USMS IGA,,2,2022-11-28
277,CALCASIEU PARISH,LAKE CHARLES,LA,70601,IGSA,,0,2021-01-07
278,CALDWELL COUNTY DETENTION CENTER,KINGSTON,MO,64650,IGSA,,0,2021-01-07
279,CALDWELL COUNTY JAIL,LOCKHART,TX,78644,IGSA,,0,2021-01-07
280,CALHOUN COUNTY CORRECTIONAL CENTER,BATTLE CREEK,MI,49014,IGSA,75,155,2025-11-10
